valuation in MM,Name,Website,Description,Growth Score,Mindshare Score,Employee Count,Est. Monthly Uniques,Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Continent,Revenue Range,Business Models,Industries,Keywords
908,CUPS,http://cupsapp.com,"CUPS is the key to finding and supporting your city's best independent cafes. Save money & drink great local coffee with just your phone, no wallet needed.",83,29,68,3302,50,2012,Pre Series A,Entrepreneurs Roundtable Accelerator,40000,1/6/14,40000,New York,New York,North America,$5M - $10M,On-Demand|Subscription,consumer services|e-commerce|food & beverages|mobile|payments,loyalty / rewards|small & medium sized business
0,Frank,http://hifrank.org,How to get somebody to pay you back? Frank makes it easy to lend and borrow money between friends and family.,-1,-1,,3,26,,Pre Series A,Entrepreneurs Roundtable Accelerator,40000,1/4/16,40000,New York,New York,North America,,B2C,banking|data storage|e-commerce|finance|information security|payments|physical security|security|storage,lending|social commerce
1579,RetSku,http://retsku.com,RetSKU is a SaaS platform that provides competitive retail intelligence and big data analytics for brands & retailers that sell through brick-and-mortar and e-commerce. We provide in-store retail execution data.,3,1,5,66,50,2013,Pre Series A,,40000,1/6/14,40000,New York,New York,North America,$1M - $5M,B2B|SaaS,advertising|analytics|enterprise software|marketing|marketing analytics|payments|retail,business intelligence
76,Family Housing Investments,http://familyhousinginvestments.com,"Family Housing Investments, LLC is the premiere real estate solutions company. We have been helping homeowners, agents and communities in Bedford County, PA and surrounding areas.",0,0,1,2,46,2009,Pre Series A,,40000,5/17/14,40000,New York,Bedford,North America,Less than $500K,,banking|finance|payments|real estate,
0,WeOrder,http://weorder.com,"Increase sales through mobile ordering app, reward your loyal customers by providing exceptionel digital restaurant hospitality. order systems",-1,-1,0,10,47,2012,Pre Series A,,40000,4/10/14,40000,London,London,Europe,,B2B|B2C|Marketplace|SaaS,e-commerce|food & beverages|hospitality|mobile|payments|social networking,food & beverages|restaurants
729,EasyVino,http://easyvino.com,Your Private Sommelier,-2,0,1,54,65,2012,Pre Series A,StartupChile,40000,10/20/12,40000,Bay Area,San Francisco,North America,$1M - $5M,B2C|Metamediary,consumer services|e-commerce|food & beverages|hospitality|mobile|payments,alcohol|local|restaurants|reviews & recommendations|wine
1,Speedelo,http://speedelo.com,"We are a passionate team with members from South America and the United States. Our head office is located in Santiago de Chile, and we",18,18,,3,65,,Pre Series A,,40000,10/5/12,40000,Santiago,Santiago,South America,,B2C,e-commerce|food & beverages|mobile|payments,payments
0,Currency Bird,http://currencybird.com,"CurrencyBird provides an easy, safe and fast way for people to transfer money abroad at very low and transparent cost.",15,15,0,18,51,,Pre Series A,,40000,12/16/13,40000,London,London,Europe,,B2C,finance|payments,p2p
0,codesy,http://codesy.io,"

codesy is a pay-what-you-want market for the open source community where we can tip each other to fix important bugs.",0,0,,2,54,,Pre Series A,,40000,9/1/13,40000,,,,,,banking|marketing|payments|software development,open source
-3,SkyBulls,http://skybulls.com,Your personal financial assistant powered by Artificial Intelligence,-86,-86,0,7,60,,Pre Series A,StartupChile,40000,3/13/13,40000,Bay Area,San Francisco,North America,,B2C,banking|finance|gaming|payments,college students
9551,Vendevor,http://vendevor.com,Ecommerce platform for small businesses,-211,-207,1,748,68,2012,Exited (acquired),,40000,7/3/12,40000,Dallas,Mansfield,North America,$1M - $5M,B2C,advertising|cleantech|e-commerce|mobile|payments|solar power,social commerce
0,ScanEat,http://scaneatapp.com,,0,0,,9,28,,Pre Series A,Start-Up Chile Generation 13|StartupChile,35000,11/12/15,35000,Santiago,Santiago,South America,,,mobile|payments,payments
0,Masblu,http://masblu.com,,-10,-14,2,23,28,,Pre Series A,Start-Up Chile Generation 13|StartupChile,35000,11/12/15,35000,Santiago,Santiago,South America,,B2B,fitness and wellness|healthcare|mobile|payments|pharmaceuticals|physical security|security,payments
1,Joint Loyalty,http://jointloyalty.com,Joint Loyalty isæa card/card-less based loyalty system designedæfor useæwith any point-of-sale (POS) system.,0,0,1,71,53,,Pre Series A,David Slomovic|Tom Ventresco,35000,10/1/13,25000,Chicago,Chicago,North America,,B2B|B2C,payments|retail,coupons|local|loyalty / rewards
5313,Sedicii,http://sedicii.com,With Sedicii your identity data never leaves your browser. Never sent. Never stored.,26,26,16,83,52,2013,Pre Series A,,35000,11/9/13,35000,Waterford,Waterford,Europe,$1M - $5M,B2B,analytics|data storage|information security|payments|physical security|security|storage,
3364,CausePlay,http://cause-play.com,"CausePlay builds mobile platforms for large distribution channels and publishers to deliver content, promotions and advertising.",16,16,3,6,97,2010,Pre Series A,,35000,1/30/10,35000,Los Angeles,Manhattan Beach,North America,$1M - $5M,B2B,advertising|analytics|marketing|mobile|payments|retail,mobile advertising|payments
0,PocketAd,http://pocketad.in,Paying target viewers to play branded games,-6,0,2,601,44,2014,Pre Series A,,35000,7/10/14,35000,New Delhi,New Delhi,Asia,,B2B|B2C,advertising|gaming|mobile|payments,mobile advertising|teenagers
754,Adventure Bucket List,http://adventurebucketlist.com,"The Best Online Booking and Reservation Software for Tour and Activity Operators. Accept online bookings 24/7 with the easiest to use booking system. Adventure companies across the world use our system for events, tours, classes, camps, rentals, adventure's and much more. Track customers in our CRM and allow them to see your availability off your website.",-61,-77,15,693,10,2014,Pre Series A,500 Startups|500 Startups Batch 21 (Summerh 2017)|Plug and Play Ventures|Start-Up Chile Generation 13|StartupChile|Visionnaire Ventures,35000,5/23/17,,Vancouver,Vancouver,North America,$5M - $10M,SaaS,hospitality|payments|travel,tourism
0,Cardjs.io,http://cardjs.io,,,,,,28,,Pre Series A,Start-Up Chile Generation 13|StartupChile,35000,11/12/15,35000,Bay Area,San Francisco,North America,,,e-commerce|payments,
23,Shipizy,http://shipizy.com,Shipizy is a trusted community marketplace that connects travelers with people with shipping needs anywhere in the world.,-7,-8,3,377,53,2012,Pre Series A,,33350,10/23/13,33350,Lisbon,Lisbon,Europe,,B2C|Marketplace,banking|e-commerce|hospitality|information security|payments|security|travel,collaborative consumption|logistics|p2p|shipping|social travel
9722,AirPOS,http://airpointofsale.com,"POS System for Retailers .Try AirPOS free for 30 days - No obligation! Types: Retail, Mobile, Bars, Cafe's, More.",-41,-48,13,363,74,2010,A,David Kirk|E-Synergy|NISPO Funds Ltd,30000,1/11/12,,Belfast,Belfast,Europe,$1M - $5M,B2B,e-commerce|finance|payments|retail,payments|point of sale
0,Apptivate,http://apptivate.co,Apptivate is service for smartphones and tablets that enables users to purchase premium applications without a credit card.,0,0,0,258,61,2014,Pre Series A,Kickstart Ventures,30000,2/1/13,30000,Quezon,Quezon,Asia,,B2C,mobile|payments,ios
0,Bankity,http://bankity.com,Mint.com for Latin America,-14,-12,3,166,37,2014,Pre Series A,Socialatom Ventures,30000,2/6/15,30000,Medellin,Medellin,South America,,B2B|B2C,banking|finance|market research|mobile|payments,
229,Bitnexo,http://bitnexo.com,Digital Payment Services,-10,0,0,219,36,2015,Pre Series A,Chinaccelerator|SOSventures,30000,3/10/15,30000,Hong Kong,Hong Kong,Asia,$1M - $5M,B2B,finance|payments,banking|payments
2,sendhelper,http://sendhelper.com,"Sendhelper is one stop for your daily cleaning, cooking and laundry needs. Lowest prices guaranteed!",8,4,10,478,24,2015,Pre Series A,Muru-D,29000,3/1/16,29000,Singapore,Singapore,Asia,,B2C|On-Demand,consumer services|mobile|payments|travel,
491,SkuRun,http://skurun.com,SkuRun is a technology start-up focused on delivering precise marketing messages to mobile devices at retail.,-2,0,2,3,61,2012,Pre Series A,Alchemist Accelerator,28000,2/1/13,28000,Los Angeles,Los Angeles,North America,$1M - $5M,B2B|SaaS,analytics|automotive|enterprise software|marketing|marketing analytics|mobile|payments|retail|software development,crm|payments|point of sale|productivity|relationship management
1,Crysp,http://crysp.com,"Crysp Account Security Monitoring, Behavioral Analytics, Fraud Prevention",1,0,3,4,26,2013,Pre Series A,Alchemist Accelerator|Winter 2016,28000,1/14/16,28000,Bay Area,San Francisco,North America,,B2B,information security|payments|physical security|security,
2,DineroTaxi,http://dinerotaxi.com,Technorides is a cloud-based mobile dispatching platform that simplifies ride and financial management for the transportation industry.,6,0,10,6,86,2012,Pre Series A,NXTP Labs,25000,1/1/11,25000,Ciudad Autí_noma De Buenos Aires,Ciudad Autí_noma De Buenos Aires,South America,,SaaS,mobile|payments|transportation,social media
0,NoveltyLab,http://noveltylab.com,Cryptocurrencies infrastructure,4,10,1,34,47,2014,Pre Series A,,25000,4/1/14,25000,Luxembourg,Luxembourg,Europe,,B2B,e-commerce|finance|payments,payments|virtual currency
147394,BudgetSimple,http://budgetsimple.com,"Easy to use, free online budget.  Get your household finances in order quickly with our budget planner, get out of debt, and build savings. It's Simple.",-114,-113,0,35249,57,,Pre Series A,AlphaLab|Innovation Works,25000,6/25/13,25000,Pittsburgh,Pittsburgh,North America,$1M - $5M,,banking|e-commerce|finance|payments,big data
2,Payment plugin,http://payplug.in,Payment plugin (PayPlug.in) is a cloud-based payment gateway that facilitates online payments for SMBs.,62,65,0,405,54,2013,Pre Series A,,25000,9/1/13,25000,Kiev,Kiev,Europe,,B2B,e-commerce|finance|payments,p2p money transfer|payments
495,DineMob,http://dinemobapp.com,Delivering the best deals on food period.,-2,0,0,4,36,2015,Pre Series A,Tech Wildcatters,25000,3/11/15,25000,Dallas,Dallas,North America,$1M - $5M,B2C,e-commerce|food & beverages|hospitality|mobile|payments,collisionconf2015|restaurants
1224604,HolyTransaction,http://holytransaction.com,"Create bitcoin wallet online best free bitcoin wallet. Get Your Free Online Cryptocurrency Wallet. HolyTransaction is your multicurrency wallet with instant exchange that support Bitcoin, Litecoin, Dogecoin, Dash",77,77,,259283,47,2015,Pre Series A,,25000,4/1/14,25000,Bay Area,Sunnyvale,North America,$1M - $5M,B2C,bitcoin|data storage|information security|payments|physical storage|security|storage,payments
0,I Like My Waitress,http://ilikemywaitress.com,"I Like My Waitress is a social networking mobile app for waiters, waitresses, bartenders and restaurant managers.",-2,-2,2,11,44,2014,Exited (acquired),,25000,7/1/14,25000,Philadelphia,Philadelphia,North America,,,consumer services|food & beverages|human resources hr|mobile|payments,
0,Paperwoven,http://paperwoven.com,"Paperwoven is a fun and simple way to send real greeting cards and invitations through the mail to friends and family. All you have to do is schedule a card once, and year-after-year Paperwoven will take care of the rest.",-1,-1,1,82,44,2014,Pre Series A,,25000,7/15/14,25000,Chicago,Chicago,North America,,B2B|B2C,e-commerce|enterprise software|mobile|payments,
0,Zero Bound,http://zerobound.com,"Crowdfund, Volunteer, Inspire",-1,-1,,147,51,,Pre Series A,,25000,12/1/13,25000,New York,New York,North America,,B2C,payments,
-308,TapFunder,http://tapfunder.com,"Find Cash Advance, Debt Consolidation and more at Tapfunder.com. Get the best of Insurance or Free Credit Report, browse our section on Cell Phones or learn about Life Insurance. Tapfunder.com is the site for Cash Advance.",-7,-6,0,2,71,2012,Pre Series A,,25000,4/15/12,25000,Burlington,Burlington,North America,$1M - $5M,B2B,crowdfunding|e-commerce|finance|mobile|payments,charity / non-profit|fundraising|payments|sms|social good
9761,Workhint LLC,http://workhint.com,Workhint is an online platform that helps SMEs work and connect with Independent business consultants Online.,3,3,4,20911,56,2013,Pre Series A,,25000,7/17/13,25000,Omaha,Omaha,North America,$1M - $5M,B2B|Marketplace,e-commerce|human resources hr|payments,consulting
1,SaleHoot,http://salehoot.com,Promo Email Replacement Tool,-3,-2,2,6,53,2013,Pre Series A,,25000,10/3/13,25000,Atlanta,Roswell,North America,,B2C,e-commerce|email|payments,content discovery
0,Skick'D,http://skickd.com,Skickäó»D is a data analytics company.,-3,-3,,3,25,,Pre Series A,Innovation Works,25000,2/3/16,25000,Minneapolis,Minneapolis,North America,,B2B|B2C,advertising|analytics|marketing|marketing analytics|payments|retail,big data|loyalty / rewards|sales
1,RhoMania,http://rhomania.com,"We create and provide iPad-based wine, spirits and beer menus for restaurants, retail stores and events.",-2,-1,2,2,82,2010,Pre Series A,AlphaLab,25000,5/12/11,25000,Pittsburgh,Pittsburgh,North America,,B2B|B2C,food & beverages|hospitality|payments,alcohol|it|restaurants
0,Travel Later,http://travellater.com,"Easy to use, flexible platform that helps consumers budget, plan and pay for vacation.",0,0,,1,43,,Pre Series A,,25000,8/1/14,25000,Spain,,Europe,,B2C,banking|finance|hospitality|payments|travel,tourism|travel|vacation rentals
2111,33Coupons.in,http://33coupons.in,An India-based coupon aggregator site,0,0,1,28654,32,2015,Pre Series A,,20000,7/6/15,20000,Kanpur,Kanpur,Asia,,B2C,deals|e-commerce|payments,coupons|deals
5,Ode.al,http://ode.al,"A complete business solution with payment module, loyalty management tool and reporting system for businesses or individual sellers",46,16,25,5601,33,2014,Pre Series A,Etohum|Etohum 2015,20000,6/17/15,20000,Istanbul,Istanbul,Europe,,B2B|B2C,mobile|payments,crm|loyalty / rewards|payments|productivity|relationship management
